table_name,constraint_name,constraint_type
profile_audit,2200_32771_1_not_null,CHECK
profile_audit,2200_32771_2_not_null,CHECK
profile_audit,2200_32771_4_not_null,CHECK
profile_audit,2200_32771_8_not_null,CHECK
profile_audit,2200_32771_9_not_null,CHECK
profile_audit,profile_audit_actor_id_users_id_fk,FOREIGN KEY
profile_audit,profile_audit_pkey,PRIMARY KEY
profile_audit,profile_audit_profile_id_profiles_id_fk,FOREIGN KEY
profile_audit,profile_audit_version_id_profile_versions_id_fk,FOREIGN KEY
profile_comments,2200_32782_1_not_null,CHECK
profile_comments,2200_32782_2_not_null,CHECK
profile_comments,2200_32782_3_not_null,CHECK
profile_comments,2200_32782_4_not_null,CHECK
profile_comments,2200_32782_7_not_null,CHECK
profile_comments,2200_32782_8_not_null,CHECK
profile_comments,profile_comments_author_id_users_id_fk,FOREIGN KEY
profile_comments,profile_comments_pkey,PRIMARY KEY
profile_comments,profile_comments_review_id_profile_reviews_id_fk,FOREIGN KEY
profile_decisions,2200_32792_1_not_null,CHECK
profile_decisions,2200_32792_2_not_null,CHECK
profile_decisions,2200_32792_3_not_null,CHECK
profile_decisions,2200_32792_4_not_null,CHECK
profile_decisions,2200_32792_5_not_null,CHECK
profile_decisions,2200_32792_7_not_null,CHECK
profile_decisions,2200_32792_8_not_null,CHECK
profile_decisions,profile_decisions_decided_by_users_id_fk,FOREIGN KEY
profile_decisions,profile_decisions_pkey,PRIMARY KEY
profile_decisions,profile_decisions_review_id_profile_reviews_id_fk,FOREIGN KEY
profile_drafts,2200_32803_1_not_null,CHECK
profile_drafts,2200_32803_2_not_null,CHECK
profile_drafts,2200_32803_3_not_null,CHECK
profile_drafts,2200_32803_4_not_null,CHECK
profile_drafts,2200_32803_6_not_null,CHECK
profile_drafts,profile_drafts_pkey,PRIMARY KEY
profile_drafts,profile_drafts_profile_id_profiles_id_fk,FOREIGN KEY
profile_drafts,profile_drafts_updated_by_users_id_fk,FOREIGN KEY
profile_publications,2200_32814_1_not_null,CHECK
profile_publications,2200_32814_2_not_null,CHECK
profile_publications,2200_32814_3_not_null,CHECK
profile_publications,2200_32814_4_not_null,CHECK
profile_publications,2200_32814_5_not_null,CHECK
profile_publications,2200_32814_6_not_null,CHECK
profile_publications,2200_32814_7_not_null,CHECK
profile_publications,2200_32814_9_not_null,CHECK
profile_publications,profile_publications_pkey,PRIMARY KEY
profile_publications,profile_publications_profile_id_profiles_id_fk,FOREIGN KEY
profile_publications,profile_publications_published_by_users_id_fk,FOREIGN KEY
profile_publications,profile_publications_version_id_profile_versions_id_fk,FOREIGN KEY
profile_reviews,2200_32826_1_not_null,CHECK
profile_reviews,2200_32826_2_not_null,CHECK
profile_reviews,2200_32826_3_not_null,CHECK
profile_reviews,2200_32826_4_not_null,CHECK
profile_reviews,2200_32826_5_not_null,CHECK
profile_reviews,2200_32826_6_not_null,CHECK
profile_reviews,2200_32826_8_not_null,CHECK
profile_reviews,profile_reviews_pkey,PRIMARY KEY
profile_reviews,profile_reviews_profile_id_profiles_id_fk,FOREIGN KEY
profile_reviews,profile_reviews_submitted_by_users_id_fk,FOREIGN KEY
profile_reviews,profile_reviews_version_id_profile_versions_id_fk,FOREIGN KEY
profile_sandboxes,2200_32837_1_not_null,CHECK
profile_sandboxes,2200_32837_2_not_null,CHECK
profile_sandboxes,2200_32837_3_not_null,CHECK
profile_sandboxes,2200_32837_4_not_null,CHECK
profile_sandboxes,2200_32837_5_not_null,CHECK
profile_sandboxes,profile_sandboxes_owner_id_users_id_fk,FOREIGN KEY
profile_sandboxes,profile_sandboxes_pkey,PRIMARY KEY
profile_sandboxes,profile_sandboxes_profile_id_profiles_id_fk,FOREIGN KEY
profile_validations,2200_32847_1_not_null,CHECK
profile_validations,2200_32847_2_not_null,CHECK
